iter	TotalF1	MultiClass
217	0.8887805358	0.2815235972
218	0.8885766542	0.2806393613
219	0.8888913703	0.280084532
220	0.8894092744	0.2797021612
221	0.8901306035	0.2787260215
222	0.8918300338	0.2782204817
223	0.8915721149	0.2778786098
224	0.8923454158	0.277144154
225	0.8929127814	0.2762262336
226	0.8937838108	0.2760663242
227	0.8944505717	0.2755803949
228	0.8954771038	0.274888724
229	0.8950156341	0.2745087216
230	0.8949641377	0.2741099735
231	0.8966560763	0.2734180627
232	0.8966560763	0.2729511819
233	0.8969622652	0.2722401702
234	0.8968071138	0.271627932
235	0.8972677964	0.2714226826
236	0.8977284789	0.2709000876
237	0.8979835888	0.2706077523
238	0.8983948109	0.2700543242
239	0.8981396307	0.2695279183
240	0.8983948109	0.269078539
241	0.8983948109	0.2683742935
242	0.8992082749	0.2679459842
243	0.8994140635	0.2674256716
244	0.900430981	0.2666816464
245	0.9008908841	0.2661197854
246	0.9016517194	0.2657846639
247	0.9021582236	0.2652965802
248	0.9014455821	0.2650071233
249	0.901192148	0.2644687782
250	0.90093857	0.2642033565
251	0.901192148	0.2637968935
252	0.9023645044	0.2631286378
253	0.9025708622	0.262319436
254	0.9028239655	0.2619758031
255	0.9035824176	0.2615230262
256	0.9035362768	0.2607955829
257	0.9043395889	0.2603939464
258	0.9048436619	0.2598879301
259	0.9048436619	0.25955991
260	0.9042939717	0.2591239932
261	0.904041549	0.2586794145
262	0.9047529934	0.2581569146
263	0.9055090835	0.2575717986
264	0.9052571948	0.2572569178
265	0.9052571948	0.2571200169
266	0.9057608314	0.2567433771
267	0.9065152325	0.255887387
268	0.9063082694	0.2555227753
269	0.9068104418	0.254671659
270	0.9074755093	0.2539832646
271	0.9088926232	0.253239965
272	0.9088496354	0.2527938583
273	0.9089354897	0.2525758009
274	0.9093931003	0.2522091218
275	0.9098507109	0.2513736267
276	0.9101006353	0.2509331735
277	0.9100583672	0.2505191558
278	0.9108912362	0.2500961126
279	0.9108912362	0.2498877041
280	0.9098930266	0.2494944077
281	0.9103924046	0.2488721898
282	0.9108912362	0.2485005941
283	0.9120541708	0.2482088059
284	0.9121359395	0.2474390716
285	0.9121359395	0.2471408753
286	0.9128408059	0.2466595076
287	0.9132971368	0.2461028346
288	0.9137134399	0.2455035499
289	0.9140015518	0.2452714246
290	0.9141699825	0.2448081063
291	0.9144181229	0.2441695304
292	0.9147056219	0.2438285988
293	0.9154093478	0.2437243845
294	0.9149140022	0.2433950774
295	0.9151224602	0.2427587381
296	0.9152009121	0.2424438445
297	0.9156568211	0.2420465086
298	0.9171008808	0.2415648476
299	0.9175563704	0.240877551
300	0.9180494473	0.2404993173
301	0.9178406129	0.2402288216
302	0.9180869287	0.2398821249
303	0.9187880828	0.2395567183
304	0.9183331141	0.2392835817
305	0.9183331141	0.2390831095
306	0.9195255485	0.2385744338
307	0.9195620945	0.2383285766
308	0.9210681462	0.2377988939
309	0.9210681462	0.237698183
310	0.9210681462	0.2375437047
311	0.9212772636	0.2369725439
312	0.9209969987	0.2366937372
313	0.9229862073	0.2360683263
314	0.9227078858	0.2357578531
315	0.9220104253	0.2355395187
316	0.9227424503	0.2349991396
317	0.9238922519	0.2342326697
318	0.9241018207	0.2339083307
319	0.9238582421	0.2336027534
320	0.9241356816	0.2334401398
321	0.9250415242	0.2330863743
322	0.9247982965	0.2328029587
323	0.9257704612	0.2323556952
324	0.9262558002	0.2317085193
325	0.9264982847	0.2312689269
326	0.9270150762	0.2309393538
327	0.9272570476	0.2306096892
328	0.9277406249	0.2296785241
329	0.9284650808	0.2292558434
330	0.9282237166	0.2291456679
331	0.9284023376	0.2287180172
332	0.9288852755	0.2280420695
333	0.9293677296	0.2278084155
334	0.9293985748	0.2270686791
335	0.929880264	0.2268543865
336	0.929608776	0.2264803183
337	0.929608776	0.2263244975
338	0.9300905083	0.225881606
339	0.9303311948	0.2253099611
340	0.9308122095	0.2247231643
341	0.9312927483	0.2241821765
342	0.9315031753	0.2239280674
343	0.9322231574	0.223491775
344	0.9324629153	0.2232083815
345	0.9327025555	0.2231319597
346	0.9329420782	0.2229124581
347	0.9331814838	0.2225823429
348	0.9331814838	0.2222155895
349	0.9327025555	0.2216955684
350	0.9331527056	0.2216130899
351	0.9329420782	0.2211919194
352	0.9334207723	0.2209809869
353	0.9345875088	0.2205807314
354	0.9345875088	0.2201996984
355	0.9353033425	0.2197415411
356	0.9347983328	0.2193827134
357	0.9352479995	0.2191252571
358	0.9352757099	0.2184122308
359	0.935514225	0.2182375194
360	0.9352757099	0.2180177157
361	0.9362290793	0.2177083843
362	0.9367050754	0.2173886341
363	0.9367319048	0.217120127
364	0.937207179	0.2164942233
365	0.9367319048	0.216106712
366	0.9369695987	0.2158575635
367	0.9378930714	0.2153152284
368	0.9378930714	0.2149353393
369	0.9378930714	0.2148334984
370	0.9381042193	0.2147108219
371	0.9388157134	0.214278447
372	0.9383414968	0.2139846042
373	0.9385786615	0.2136532635
374	0.9376556992	0.2132392033
375	0.9383674769	0.2129617182
376	0.9393149387	0.2126973347
377	0.9392894802	0.2123970987
378	0.9390782414	0.2119166443
379	0.9395515244	0.2114524859
380	0.9407080995	0.2109814169
381	0.9409441474	0.2107645515
382	0.9411800848	0.2106837982
383	0.9409441474	0.2103180764
384	0.9404719409	0.2096972981
385	0.9404719409	0.2094538481
386	0.9411555855	0.2088517058
387	0.9409195203	0.2086828902
388	0.9413425903	0.2080240718
389	0.94157869	0.2078392072
390	0.9416030715	0.2074746698
391	0.9413425903	0.2072947242
392	0.94157869	0.2069863385
393	0.9422139201	0.2065727696
394	0.9424499603	0.2062664425
395	0.9428978206	0.2059866243
396	0.9420021001	0.2055801228
397	0.9427098378	0.2051384143
398	0.9434165835	0.2047228362
399	0.9441223429	0.204369058
400	0.944145468	0.2040874604
401	0.943440085	0.2032185741
402	0.9436753217	0.2030703048
403	0.9436753217	0.2026186378
404	0.9439104492	0.2020882261
405	0.9441223429	0.2018489676
406	0.9443343129	0.2017570809
407	0.9445693642	0.2016134848
408	0.9443343129	0.2013241654
409	0.9448043066	0.2008749613
410	0.945273866	0.2004788222
411	0.945273866	0.2003143306
412	0.9461895526	0.2000062027
413	0.946658065	0.1996693587
414	0.9468921604	0.1994680423
415	0.9469139291	0.1992254175
416	0.9471477956	0.1989954575
417	0.9476152095	0.198403694
418	0.9476152095	0.1978669272
419	0.9489734922	0.1974858994
420	0.9485068655	0.1969689504
421	0.9487402316	0.196634999
422	0.9482733937	0.1962009509
423	0.9482733937	0.1957153077
424	0.9494396977	0.1952029612
425	0.9492066475	0.1947281551
426	0.9499054837	0.1944188459
427	0.9506033796	0.1940635549
428	0.9506033796	0.1939607954
429	0.9508358037	0.1936659736
430	0.9508358037	0.193463787
431	0.9510681241	0.193064025
432	0.9513003411	0.1929606011
433	0.9510681241	0.1925508305
434	0.9510681241	0.1921890745
435	0.9510681241	0.1919413715
436	0.9515324549	0.191772001
437	0.9519771113	0.1914103422
438	0.9521898326	0.1910551996
439	0.9528853297	0.1906568255
440	0.9533298078	0.1902706364
441	0.952866424	0.1901177857
442	0.9526536	0.1898027295
443	0.9528853297	0.1895375293
444	0.9533484825	0.1892157796
445	0.9535613462	0.1890225758
446	0.9533110804	0.1885213236
447	0.9537742858	0.1882311718
448	0.9535613462	0.1878188862
449	0.9546994731	0.1875355633
450	0.9544683287	0.1868835878
451	0.9549305163	0.1865348347
452	0.9542370828	0.1859176596
453	0.9544683287	0.1856757899
454	0.9544683287	0.185538736
455	0.9546994731	0.1853135034
456	0.9544683287	0.1851924265
457	0.9546994731	0.1850064203
458	0.9549305163	0.1846453522
459	0.9546994731	0.1843677164
460	0.9549305163	0.1842277889
461	0.9551614584	0.1838271855
462	0.9551614584	0.1833048053
463	0.9553922996	0.182875672
464	0.9554099988	0.1826768481
465	0.9551792706	0.1824130797
466	0.9554099988	0.1822646316
467	0.9551792706	0.1820004241
468	0.9556230402	0.1816920123
469	0.9558536804	0.1814349195
470	0.9563146601	0.1811579152
471	0.9560842203	0.1809665292
472	0.9560842203	0.1806672104
473	0.9565450001	0.1803963761
